Brand,Price,Height,Width,Depth,Style,Capacity
Summit,"$1,149.00","Height: 74.38""","Width: 23.63""","Depth: 27""",Style: Bottom Freezer,Total Capacity: 11.6 cu. ft.
Frigidaire,$649.00,"Height: 59.875""","Width: 23.75""","Depth: 28.75""",Style: Top Freezer,Total Capacity: 11.6 cu. ft.
Frigidaire,$649.00,"Height: 59.875""","Width: 23.75""","Depth: 28.75""",Style: Top Freezer,Total Capacity: 11.6 cu. ft.
Liebherr,"$3,299.00","Height: 79.5625""","Width: 23.625""","Depth: 24.8125""",Style: Bottom Freezer,Total Capacity: 11.9 cu. ft.
Liebherr,"$3,299.00","Height: 79.5625""","Width: 23.625""","Depth: 24.8125""",Style: Bottom Freezer,Total Capacity: 11.9 cu. ft.
Liebherr,"$3,299.00","Height: 79.5625""","Width: 23.625""","Depth: 24.8125""",Style: Bottom Freezer,Total Capacity: 11.9 cu. ft.
AccuCold,"$1,729.00","Height: 61.75""","Width: 23.38""","Depth: 26.13""",Style: All Refrigerator,Total Capacity: 12 cu. ft.
AccuCold,"$2,899.00","Height: 61.75""","Width: 23.38""","Depth: 26.13""",Style: All Refrigerator,Total Capacity: 12 cu. ft.
Chambers,"$2,399.00","Height: 76.38""","Width: 23.62""","Depth: 26.34""",Style: Bottom Freezer,Total Capacity: 12 cu. ft.
Summit,"$1,199.00","Height: 78.88""","Width: 23.63""","Depth: 25.63""",Style: Bottom Freezer,Total Capacity: 12.5 cu. ft.
Summit,"$1,199.00","Height: 78.88""","Width: 23.63""","Depth: 25.63""",Style: Bottom Freezer,Total Capacity: 12.5 cu. ft.
Blomberg,$899.00,"Height: 67.75""","Width: 27.5625""","Depth: 26.6875""",Style: Top Freezer,Total Capacity: 12.56 cu. ft.
Blomberg,"$1,149.00","Height: 67.75""","Width: 27.5625""","Depth: 26.6875""",Style: Top Freezer,Total Capacity: 12.56 cu. ft.
Liebherr,"$2,799.00","Height: 79.1875""","Width: 23.625""","Depth: 24.8125""",Style: Bottom Freezer,Total Capacity: 12.7 cu. ft.
Liebherr,"$2,799.00","Height: 79.1875""","Width: 23.625""","Depth: 24.8125""",Style: Bottom Freezer,Total Capacity: 12.7 cu. ft.
Liebherr,"$2,699.00","Height: 79.5625""","Width: 23.625""","Depth: 24.8125""",Style: Bottom Freezer,Total Capacity: 12.7 cu. ft.
Liebherr,"$2,199.00","Height: 79.5625""","Width: 23.625""","Depth: 24.8125""",Style: Bottom Freezer,Total Capacity: 12.7 cu. ft.
Miele,"$2,899.00","Height: 79.5""","Width: 23.5""","Depth: 24.813""",Style: Bottom Freezer,Total Capacity: 12.75 cu. ft.
Liebherr,"$1,999.00","Height: 66.1875""","Width: 29.5625""","Depth: 24.8125""",Style: Bottom Freezer,Total Capacity: 12.8 cu. ft.
Liebherr,"$1,999.00","Height: 66.1875""","Width: 29.5625""","Depth: 24.8125""",Style: Bottom Freezer,Total Capacity: 12.8 cu. ft.
Summit,"$1,499.00","Height: 79.25""","Width: 23.63""","Depth: 27.25""",Style: Bottom Freezer,Total Capacity: 12.81 cu. ft.
Summit,"$1,219.00","Height: 79.25""","Width: 23.63""","Depth: 27.25""",Style: Bottom Freezer,Total Capacity: 12.81 cu. ft.
Summit,"$1,529.00","Height: 79.25""","Width: 23.63""","Depth: 27.25""",Style: Bottom Freezer,Total Capacity: 12.81 cu. ft.
Summit,$719.00,"Height: 69.25""","Width: 26""","Depth: 27.75""",Style: Top Freezer,Total Capacity: 12.9 cu. ft.
Summit,$759.00,"Height: 69.25""","Width: 26""","Depth: 27.75""",Style: Top Freezer,Total Capacity: 12.9 cu. ft.
Summit,$979.00,"Height: 67.75""","Width: 27.63""","Depth: 27.63""",Style: Top Freezer,Total Capacity: 13 cu. ft.
Fisher Paykel,"$2,049.00","Height: 67.75""","Width: 25""","Depth: 27.375""",Style: Bottom Freezer,Total Capacity: 13.4 cu. ft.
Fisher Paykel,"$2,249.00","Height: 67.54""","Width: 25""","Depth: 29""",Style: Bottom Freezer,Total Capacity: 13.4 cu. ft.
Beko,$849.00,"Height: 67.75""","Width: 27.5""","Depth: 24.625""",Style: Top Freezer,Total Capacity: 13.53 cu. ft.
Summit,"$1,299.00","Height: 70.75""","Width: 26.75""","Depth: 26.75""",Style: French Door,Total Capacity: 13.7 cu. ft.
Blomberg,$949.00,"Height: 75.1875""","Width: 27.5""","Depth: 24.60""",Style: Bottom Freezer,Total Capacity: 13.8 cu. ft.
Beko,$699.00,"Height: 67.75""","Width: 27.5""","Depth: 24.625""",Style: Top Freezer,Total Capacity: 13.84 cu. ft.
Frigidaire,$560.10,"Height: 59.875""","Width: 27.625""","Depth: 29.375""",Style: Top Freezer,Total Capacity: 13.9 cu. ft.
Frigidaire,$543.00,"Height: 59.875""","Width: 27.625""","Depth: 29.375""",Style: Top Freezer,Total Capacity: 13.9 cu. ft.
Frigidaire,$649.00,"Height: 59.875""","Width: 27.625""","Depth: 29.375""",Style: Top Freezer,Total Capacity: 13.9 cu. ft.
Frigidaire,$619.00,"Height: 59.875""","Width: 27.625""","Depth: 29.375""",Style: Top Freezer,Total Capacity: 13.9 cu. ft.
